x,y
364.980959,437.088965
371.339727,440.070333
379.257178,442.318152
393.292722,444.734334
399.812732,448.488749
406.040247,452.720268
417.508864,461.198531
427.117740,469.867171
436.581184,475.566154
449.187708,482.272945
477.197885,494.912448
485.278837,498.844713
496.205073,502.759250
520.688652,509.358696
533.279947,518.216269
535.884588,516.153334
536.211792,512.953219
535.499751,509.411801
532.525161,504.626510
534.199961,498.090325
535.452866,487.401300
538.218240,478.368797
538.321953,469.816771
538.925913,460.116342
542.095859,449.547467
549.512982,433.991723
555.977627,386.128538
562.159253,362.532732
567.605520,353.179026
574.844726,344.482053
581.549036,339.510440
591.867951,330.349792
599.289118,322.968330
609.734546,321.281674
642.036383,313.715154
660.198054,312.441304
674.281521,313.540874
683.615937,317.967797
695.405065,324.817122
702.943569,331.605741
708.545511,339.804979
714.580254,347.940880
722.258499,361.284037
735.855172,366.610105
757.157744,386.367272
771.770185,387.638296
786.104034,386.922974
801.870211,389.321807
845.593342,393.848717
854.731492,384.941956
871.988733,367.861749
879.698019,349.797023
882.954646,336.129085
888.325787,320.088853
889.790606,296.548097
882.953428,278.378251
879.683897,269.831261
873.947199,255.062058
869.619148,247.817275
865.717876,235.672257
858.759214,226.119288
852.272539,215.391107
839.397497,209.695026
825.338367,209.990744
816.903711,208.116106
807.349745,204.991429
797.819019,203.855089
784.472767,202.650007
769.973625,202.598744
756.485888,201.556854
740.449742,202.066406
724.801291,199.158239
707.167829,199.331172
688.080153,202.391944
673.123498,204.331722
656.982039,200.569875
641.973289,199.685250
627.363445,195.153825
609.999056,195.028367
592.145570,197.567555
550.644988,193.998515
533.330299,190.765184
515.627001,185.198540
500.143880,182.150020
482.467405,179.512032
462.146544,181.529822
421.895929,188.844555
407.738535,187.494845
385.770655,184.079905
370.084147,184.756997
343.477471,189.654582
331.411004,188.294368
314.187698,189.184375
299.906568,183.156709
281.962644,181.132332
267.912310,178.577795
245.250314,175.961152
238.754710,178.211826
228.730627,180.554213
224.709594,184.056217
219.554422,187.113290
215.580142,190.735885
213.887435,195.538622
212.858798,201.837242
209.476394,206.308176
206.552925,211.406592
202.489249,219.194166
200.672838,228.011962
200.104918,234.901032
198.875957,242.838170
197.180246,252.593055
198.075795,264.597437
201.211553,281.456246
201.910860,298.601999
199.233047,322.359038
197.686518,337.530231
194.902580,351.801241
200.851666,378.075509
197.529645,396.417215
195.611289,410.254007
192.436996,423.626758
187.286615,441.609883
182.517393,458.053402
177.913756,470.912307
173.335167,483.790941
140.143446,486.668549
183.161793,508.594016
182.971424,515.861453
184.603726,525.431950
185.713338,533.070792
190.017146,532.797848
191.946817,540.488243
197.455491,546.563560
199.875940,549.504537
202.064597,551.249553
207.275081,547.549312
209.160418,546.625173
213.565307,550.514154
217.087739,556.048363
223.231261,552.401381
227.464967,547.892421
230.071055,547.484531
234.621263,547.076178
236.566727,546.319031
241.289324,542.269904
243.161506,540.580467
247.569619,539.089437
247.233014,537.065943
244.983870,534.197806
243.937577,530.783833
241.488155,526.315353
240.420688,523.136405
239.728352,521.291316
239.606449,518.824371
239.690782,519.584358
232.728615,516.739855
235.347900,515.317611
225.278615,511.783372
244.625817,505.991757
247.751965,497.028833
252.251747,490.197311
255.798144,482.831935
260.079900,476.868672
265.300911,468.996606
279.901599,411.071752
280.306549,472.831634
290.348075,470.258744
301.994054,466.911096
311.149600,461.641698
319.755958,458.664138
327.622842,455.538295
338.336587,453.305362
348.844035,451.870030
364.003904,449.094260
385.959601,442.990431
404.949260,435.357323
426.038655,429.650762
454.843446,430.618106
441.186510,448.729539
456.387324,431.868100
482.359959,385.885419
494.753447,369.247540
501.825488,368.180596
502.730147,364.624222
504.843237,362.836888
504.345452,367.786845
500.226749,372.874050
496.797858,381.537452
485.997378,390.587283
485.650788,390.995122
459.597357,382.765311
511.004989,392.021239
515.837202,392.595556
516.432374,398.356561
516.576212,401.316251
520.419847,407.811788
529.373082,414.707852
524.204201,449.162411
529.819647,457.155948
535.482702,477.067513
545.210914,481.531836
551.950511,484.203650
560.843400,487.306309
572.900578,488.230648
578.560829,491.820083
582.672521,494.830101
584.439952,495.830394
588.402588,498.984006
590.454793,495.655366
590.144515,492.439941
588.888627,485.798772
585.525033,479.388439
587.272623,468.624078
586.062053,461.032181
582.017138,453.064264
581.219493,445.168205
579.033346,435.864998
572.782060,428.911380
567.320050,419.450966
557.863314,408.989807
556.325992,398.845502
554.016092,386.141632
554.583580,370.348239
559.457702,348.712944
563.048365,332.334882
564.193148,319.039071
565.317877,308.261185
569.132011,299.903990
573.590148,286.916666
583.335282,275.089791
591.582245,264.176990
598.809700,253.401908
604.031325,244.794815
609.749093,238.262298
615.906022,230.579942
623.737444,226.522456
632.277356,216.294516
647.271713,211.914701
663.841742,213.105490
682.572255,220.209066
698.821252,228.723359
717.837405,237.710211
740.379008,241.826869
758.558768,246.263359
772.483983,246.250497
785.270161,243.910970
798.181883,239.084373
811.365929,230.205037
824.284481,229.884638
838.032678,231.112317
848.643870,228.437180
858.566306,225.572745
866.922483,220.508389
869.922512,215.873864
871.748973,213.865778
878.093699,206.471534
882.551702,203.583854
885.880218,201.101668
889.020194,201.526590
891.985083,199.525727
891.834291,197.714726
894.960528,198.844204
898.485721,199.875207
903.663684,201.438685
911.429805,202.096389
917.791613,204.617234
924.764619,208.496545
932.267683,213.449246
943.511053,219.980782
957.543766,225.744816
973.958826,232.632721
990.433953,239.356421
1001.713444,245.718561
1010.393410,252.807337
1016.497851,264.567560
1024.056070,272.483042
1029.551720,278.724329
1034.923089,287.480875
1040.135211,295.899918
1044.116326,305.489909
1050.085320,314.838518
1051.199795,325.301690
1048.172171,339.607885
1044.977463,356.680643
1043.957032,368.156087
1045.376601,384.379957
1045.623292,400.431937
1041.528337,416.423288
1034.093570,434.650859
1024.267351,449.920316
